signal,jitter,cache,syscall
0,0,25100,1817
1,72,25104,1854
0,0,25100,1817
1,76,25136,1857
1,82,25105,1856
1,72,25104,1855
1,72,25104,1855
1,76,25133,1857
0,0,25064,1817
0,0,25064,1817
0,0,25064,1817
1,82,25105,1856
1,72,25104,1854
0,0,25090,1817
1,74,25131,1863
1,75,25131,1853
1,73,25136,1855
0,0,25100,1817
0,0,25064,1817
1,75,25136,1857
0,0,25064,1817
0,0,25064,1817
0,0,25064,1817
1,83,25126,1855
0,23,25064,1817
0,0,25064,1817
1,73,25136,1855
0,0,25100,1817
0,0,25064,1817
1,73,25136,1855
1,74,25131,1853
1,72,25104,1855
1,86,25105,1856
0,36,25080,1817
0,0,25064,1817
0,0,25064,1817
0,0,25064,1817
0,0,25064,1817
0,0,25064,1817
1,82,25105,1856
1,75,25139,1853
0,0,25064,1817
0,0,25064,1817
0,0,25064,1817
1,74,25131,1853
0,0,25064,1817
0,0,25064,1817
1,72,25104,1854
0,0,25087,1817
0,0,25064,1817
1,72,25104,1855
1,87,25105,1856
1,75,25136,1857
1,72,25104,1855
0,0,25091,1817
1,76,25133,1839
1,73,25136,1855
0,0,25092,1817
0,0,25064,1817
0,0,25064,1817
0,0,25064,1817
1,79,25126,1853
0,0,25064,1817
1,74,25131,1853
1,74,25131,1853
0,0,25064,1817
0,0,25064,1817
1,74,25131,1853
1,72,25104,1854
0,36,25086,1817
0,0,25088,1817
0,0,25064,1817
1,75,25131,1853
1,75,25131,1853
0,0,25064,1817
1,72,25104,1854
1,75,25136,1857
1,76,25136,1857
0,26,25099,1817
0,26,25102,1817
1,79,25130,1853
0,0,25100,1817
1,76,25133,1853
0,0,25100,1817
1,76,25136,1857
0,26,25064,1817
1,75,25136,1859
0,0,25064,1817
0,0,25064,1817
0,0,25064,1817
0,0,25064,1817
0,0,25064,1817
0,0,25064,1817
0,0,25064,1817
0,0,25064,1817
0,0,25064,1817
1,72,25104,1855
0,0,25089,1817
1,73,25136,1855
0,0,25100,1817
1,73,25136,1855
0,0,25092,1817
1,74,25131,1853
0,0,25064,1817
0,0,25064,1817
0,0,25064,1817
0,0,25064,1817
1,76,25136,1857
1,90,25105,1856
0,0,25066,1817
0,0,25065,1817
0,0,25064,1817
0,0,25064,1817
1,73,25136,1855
1,76,25136,1857
0,36,25099,1817
0,0,25064,1817
1,72,25104,1855
0,40,25088,1817
0,0,25064,1817
0,0,25064,1817
0,0,25064,1817
0,0,25064,1817
0,0,25064,1817
1,72,25104,1855
1,76,25133,1857
0,0,25064,1817
0,0,25064,1817
1,76,25136,1857
1,72,25104,1855
1,75,25136,1857
1,73,25136,1855
1,72,25104,1854
1,76,25136,1857
1,76,25136,1857
0,36,25063,1817
1,76,25133,1853
0,0,25108,1817
0,0,25064,1817
1,75,25131,1853
0,0,25064,1817
1,76,25133,1853
0,0,25064,1817
1,75,25136,1859
0,0,25064,1817
0,0,25064,1817
0,0,25064,1817
1,72,25104,1855
1,73,25136,1855
1,72,25104,1854
1,73,25136,1855
0,0,25100,1817
1,75,25131,1853
0,0,25064,1817
1,72,25103,1866
0,0,25091,1817
1,82,25105,1856
1,75,25131,1853
1,73,25136,1855
1,72,25104,1855
1,72,25104,1854
1,76,25133,1853
0,0,25100,1817
0,0,25064,1817
1,76,25135,1856
0,0,25087,1817
1,75,25136,1857
0,0,25064,1817
0,0,25064,1817
0,0,25064,1817
0,0,25064,1817
1,76,25136,1857
0,25,25102,1817
1,76,25139,1853
1,75,25131,1853
1,79,25131,1856
1,73,25136,1855
0,0,25092,1817
0,0,25064,1817
1,72,25104,1854
0,22,25100,1817
1,75,25136,1859
0,26,25102,1817
0,26,25064,1817
1,85,25105,1856
1,76,25136,1857
1,76,25136,1857
0,25,25102,1817
0,26,25064,1817
1,76,25133,1853
1,72,25117,1857
0,0,25064,1817
1,76,25143,1853
1,73,25136,1855
1,83,25126,1855
0,0,25092,1817
1,72,25104,1854
1,76,25136,1871
0,26,25064,1817
1,76,25133,1853
1,72,25104,1854
1,76,25136,1857
0,25,25064,1817
0,22,25064,1817
1,82,25105,1856
0,24,25078,1817
0,36,25063,1817
0,0,25064,1817
0,0,25064,1817
0,0,25064,1817
1,72,25104,1855
0,0,25089,1817
1,76,25136,1857
0,25,25064,1817
0,26,25064,1817
0,26,25064,1817
1,74,25131,1853
0,0,25064,1817
1,76,25136,1857
0,25,25102,1817
1,72,25104,1854
0,36,25086,1817
0,0,25088,1817
0,0,25064,1817
1,72,25104,1855
0,22,25064,1817
1,74,25131,1853
0,0,25064,1817
1,76,25136,1857
1,73,25136,1855
1,75,25144,1857
1,76,25133,1853
1,79,25129,1853
1,73,25136,1855
1,76,25133,1853
0,0,25064,1817
0,0,25064,1817
0,0,25064,1817
1,75,25136,1859
0,26,25102,1817
1,73,25136,1855
1,89,25105,1856
0,25,25068,1817
1,72,25104,1854
0,40,25092,1817
1,75,25136,1857
0,35,25063,1817
0,0,25064,1817
1,74,25131,1853
1,72,25103,1865
1,76,25133,1853
1,82,25131,1853
0,36,25063,1817
1,75,25136,1857
0,25,25064,1817
1,72,25104,1854
1,74,25131,1853
1,76,25136,1859
1,73,25136,1855
0,0,25092,1817
0,0,25064,1817
0,0,25064,1817
0,0,25064,1817
1,75,25136,1857
0,26,25086,1817
1,75,25131,1853
0,0,25064,1817
0,0,25064,1817
0,0,25064,1817
0,0,25064,1817
0,0,25064,1817
0,0,25064,1817
0,0,25064,1817
1,75,25136,1872
0,0,25064,1817
0,0,25064,1817
0,0,25064,1817
0,0,25064,1817
0,0,25064,1817
0,0,25064,1817
1,74,25131,1863
0,0,25064,1817
0,0,25064,1817
1,74,25131,1853
0,0,25064,1817
0,0,25064,1817
1,76,25136,1857
0,36,25063,1817
1,75,25131,1853
1,83,25126,1855
0,36,25063,1817
1,72,25104,1854
0,22,25103,1817
0,0,25064,1817
0,0,25064,1817
0,0,25064,1817
1,72,25104,1854
0,22,25100,1817
0,0,25064,1817
0,0,25064,1817
1,75,25131,1853
1,76,25136,1857
0,24,25064,1817
0,0,25064,1817
0,0,25064,1817
1,72,25104,1855
0,0,25089,1817
1,76,25136,1857
0,24,25064,1817
0,23,25064,1817
1,72,25104,1855
0,22,25064,1817
0,0,25064,1817
0,0,25064,1817
1,75,25136,1859
0,0,25064,1817
1,72,25104,1855
0,40,25078,1817
1,76,25136,1857
1,73,25136,1855
0,0,25064,1817
1,72,25104,1855
0,40,25078,1817
1,72,25117,1853
1,75,25136,1857
0,24,25107,1817
1,75,25131,1853
0,0,25064,1817
0,0,25064,1817
1,72,25104,1855
1,75,25136,1872
1,72,25104,1855
1,73,25136,1855
1,72,25104,1855
0,22,25064,1817
0,0,25064,1817
1,85,25104,1856
0,0,25089,1817
0,0,25090,1817
0,0,25112,1817
0,0,25064,1817
1,74,25131,1853
0,0,25064,1817
0,0,25064,1817
0,0,25064,1817
1,76,25136,1857
0,25,25064,1817
0,26,25064,1817
1,73,25136,1855
0,0,25090,1817
0,0,25064,1817
0,0,25064,1817
1,76,25136,1859
0,26,25064,1817
1,76,25139,1853
0,0,25087,1817
0,0,25089,1817
1,72,25104,1855
1,73,25136,1855
0,0,25100,1817
1,73,25136,1855
1,72,25115,1853
1,76,25133,1853
0,0,25100,1817
1,76,25133,1853
0,0,25087,1817
1,75,25136,1857
0,24,25102,1817
1,72,25104,1855
1,72,25104,1854
1,76,25136,1857
1,75,25136,1859
0,0,25064,1817
0,0,25064,1817
1,85,25103,1856
0,0,25088,1817
0,0,25087,1817
0,0,25100,1817
0,0,25064,1817
1,72,25104,1854
1,72,25115,1853
1,76,25136,1857
0,36,25063,1817
1,76,25133,1853
1,79,25130,1853
0,0,25064,1817
0,0,25064,1817
0,0,25064,1817
0,0,25064,1817
1,72,25104,1855
0,0,25090,1817
0,0,25064,1817
1,76,25136,1857
0,24,25064,1817
1,82,25105,1856
0,24,25078,1817
1,73,25136,1855
1,82,25105,1856
0,35,25067,1817
0,0,25066,1817
1,72,25104,1854
1,73,25143,1856
0,0,25090,1817
0,0,25064,1817
0,0,25064,1817
1,72,25104,1855
1,76,25136,1871
1,76,25133,1853
0,0,25064,1817
1,74,25131,1853
0,0,25064,1817
1,73,25136,1855
1,88,25105,1856
0,23,25068,1817
1,74,25131,1853
0,0,25064,1817
0,0,25064,1817
0,0,25064,1817
0,0,25064,1817
1,82,25105,1856
1,76,25143,1853
0,26,25064,1817
1,79,25131,1856
1,72,25104,1855
0,0,25089,1817
1,75,25131,1853
0,0,25064,1817
0,0,25064,1817
1,72,25104,1855
0,0,25091,1817
1,74,25138,1853
0,0,25064,1817
0,0,25064,1817
1,74,25131,1853
1,76,25136,1857
1,74,25131,1853
1,74,25131,1853
1,74,25131,1853
1,76,25136,1857
1,72,25103,1865
0,0,25092,1817
0,0,25092,1817
0,0,25092,1817
0,0,25064,1817
0,0,25064,1817
0,0,25064,1817
0,0,25064,1817
1,76,25133,1853
0,0,25064,1817
1,75,25137,1856
1,90,25105,1856
0,24,25088,1817
1,73,25136,1855
1,73,25136,1855
0,0,25092,1817
1,75,25131,1853
1,75,25136,1857
0,36,25099,1817
1,73,25143,1856
0,0,25090,1817
0,0,25064,1817
0,0,25064,1817
0,0,25064,1817
0,0,25064,1817
0,0,25064,1817
0,0,25064,1817
1,73,25136,1855
1,76,25136,1857
0,25,25064,1817
1,85,25103,1856
1,76,25133,1856
1,75,25131,1853
1,75,25131,1853
1,74,25131,1853
0,0,25064,1817
0,0,25064,1817
0,0,25064,1817
0,0,25064,1817
0,0,25064,1817
0,0,25064,1817
0,0,25064,1817
0,0,25064,1817
0,0,25064,1817
1,75,25131,1853
0,0,25110,1817
0,0,25064,1817
1,75,25136,1857
1,72,25104,1854
0,0,25090,1817
0,0,25090,1817
0,0,25064,1817
1,74,25131,1853
0,0,25064,1817
0,0,25064,1817
0,0,25064,1817
0,0,25064,1817
1,75,25139,1853
1,75,25131,1853
0,0,25064,1817
1,74,25131,1853
0,0,25064,1817
0,0,25064,1817
1,74,25131,1853
0,0,25064,1817
1,76,25133,1857
0,0,25064,1817
0,0,25064,1817
0,0,25064,1817
1,75,25136,1857
0,0,25064,1817
0,0,25064,1817
1,76,25136,1857
1,76,25136,1857
0,26,25102,1817
0,0,25064,1817
1,76,25139,1853
0,0,25064,1817
0,0,25064,1817
1,72,25104,1855
0,0,25089,1817
1,75,25131,1853
1,74,25131,1839
1,73,25136,1855
1,75,25131,1853
1,72,25104,1854
1,72,25104,1855
0,36,25077,1817
1,73,25136,1856
1,74,25131,1853
0,0,25064,1817
0,0,25064,1817
1,72,25104,1854
0,0,25093,1817
1,82,25105,1856
0,26,25068,1817
0,0,25064,1817
0,0,25064,1817
0,0,25064,1817
0,0,25064,1817
0,0,25064,1817
0,0,25064,1817
1,72,25104,1855
0,0,25090,1817
1,72,25104,1855
0,0,25089,1817
0,0,25087,1817
1,82,25105,1856
1,76,25133,1853
1,76,25133,1853
0,0,25100,1817
1,76,25136,1857
0,26,25102,1817
1,82,25105,1856
0,26,25068,1817
0,0,25064,1817
0,0,25064,1817
0,0,25064,1817
0,0,25064,1817
0,0,25064,1817
1,74,25131,1853
0,0,25064,1817
0,0,25064,1817
0,0,25064,1817
0,0,25064,1817
1,89,25105,1856
0,25,25068,1817
1,74,25131,1853
1,75,25131,1853
1,76,25136,1857
0,35,25063,1817
0,0,25064,1817
0,0,25064,1817
1,75,25144,1857
1,74,25131,1853
1,79,25131,1856
0,0,25108,1817
0,0,25064,1817
1,76,25136,1871
0,26,25064,1817
1,75,25136,1857
1,72,25104,1854
1,75,25136,1857
1,72,25104,1854
1,88,25105,1856
0,23,25068,1817
0,0,25066,1817
1,74,25131,1853
1,82,25105,1856
1,75,25131,1853
0,0,25064,1817
1,72,25104,1854
1,75,25144,1857
1,76,25133,1853
1,79,25131,1856
0,0,25108,1817
0,0,25064,1817
0,0,25064,1817
0,0,25064,1817
1,76,25133,1853
0,0,25100,1817
1,75,25136,1857
1,76,25139,1853
0,0,25087,1817
0,0,25089,1817
0,0,25064,1817
0,0,25064,1817
1,73,25136,1855
0,0,25100,1817
0,0,25064,1817
0,0,25064,1817
0,0,25064,1817
1,76,25136,1857
0,25,25064,1817
0,0,25064,1817
0,0,25064,1817
0,0,25064,1817
0,0,25064,1817
0,0,25064,1817
0,0,25064,1817
1,73,25136,1855
0,0,25092,1817
0,0,25089,1817
0,0,25064,1817
0,0,25064,1817
1,75,25131,1839
1,72,25104,1855
0,0,25090,1817
1,75,25136,1857
0,0,25064,1817
0,0,25064,1817
1,73,25136,1855
0,0,25092,1817
1,74,25131,1853
1,74,25131,1853
0,0,25064,1817
0,0,25064,1817
1,72,25104,1854
1,82,25105,1856
0,26,25068,1817
1,75,25133,1853
1,88,25105,1856
0,23,25068,1817
1,76,25136,1857
1,76,25133,1853
0,0,25064,1817
0,0,25064,1817
1,76,25136,1857
1,76,25133,1857
0,0,25100,1817
1,76,25133,1853
1,82,25105,1856
1,74,25131,1853
0,0,25064,1817
0,0,25064,1817
1,72,25104,1855
0,0,25064,1817
0,0,25064,1817
1,74,25131,1853
0,0,25064,1817
1,84,25105,1856
0,26,25088,1817
1,72,25104,1854
1,74,25131,1853
1,75,25136,1857
1,76,25133,1853
1,75,25136,1857
0,26,25086,1817
0,25,25106,1817
1,72,25104,1855
1,79,25130,1853
0,36,25063,1817
1,74,25131,1853
0,0,25064,1817
1,75,25131,1853
1,75,25131,1853
1,73,25136,1855
1,75,25136,1857
0,0,25064,1817
0,0,25064,1817
1,75,25131,1858
0,0,25065,1817
1,72,25104,1855
0,0,25091,1817
0,0,25064,1817
0,0,25064,1817
1,74,25131,1853
0,0,25064,1817
1,75,25131,1853
0,0,25064,1817
0,0,25064,1817
1,72,25104,1855
0,0,25091,1817
0,0,25064,1817
1,75,25131,1853
1,72,25104,1854
0,0,25092,1817
1,72,25104,1855
0,0,25089,1817
0,0,25064,1817
0,0,25064,1817
1,72,25104,1855
0,0,25091,1817
0,0,25064,1817
0,0,25064,1817
0,0,25064,1817
0,0,25064,1817
1,76,25136,1857
1,79,25130,1853
0,0,25100,1817
0,0,25064,1817
1,75,25136,1872
0,25,25102,1817
0,0,25064,1817
1,75,25136,1859
1,75,25131,1853
0,0,25064,1817
0,0,25064,1817
0,0,25064,1817
0,0,25064,1817
0,0,25064,1817
1,73,25136,1855
0,0,25100,1817
0,0,25064,1817
1,75,25136,1857
0,26,25099,1817
0,26,25102,1817
0,23,25064,1817
1,72,25104,1855
1,75,25136,1857
1,76,25136,1871
0,26,25086,1817
1,74,25131,1853
1,73,25136,1855
0,0,25092,1817
0,0,25100,1817
0,0,25064,1817
1,76,25136,1857
0,26,25064,1817
0,36,25063,1817
1,73,25136,1855
0,0,25100,1817
1,73,25136,1855
1,72,25104,1855
1,76,25143,1853
1,75,25131,1853
1,83,25126,1855
1,72,25104,1855
1,72,25104,1854
0,22,25103,1817
0,36,25063,1817
1,75,25136,1857
0,0,25064,1817
0,0,25064,1817
0,0,25064,1817
0,0,25064,1817
0,0,25064,1817
0,0,25064,1817
0,0,25064,1817
1,82,25105,1856
0,38,25077,1817
1,75,25136,1857
1,72,25104,1855
0,0,25064,1817
1,73,25136,1855
1,79,25130,1853
0,36,25063,1817
0,0,25064,1817
0,0,25064,1817
1,74,25131,1853
0,0,25064,1817
1,76,25136,1859
0,26,25064,1817
1,76,25139,1853
1,83,25105,1856
0,25,25088,1817
0,22,25064,1817
1,75,25131,1853
0,0,25064,1817
1,76,25136,1857
0,25,25102,1817
0,25,25064,1817
0,23,25064,1817
1,72,25104,1854
1,83,25126,1855
0,0,25092,1817
0,0,25088,1817
1,72,25104,1854
0,0,25090,1817
1,73,25136,1855
1,75,25131,1853
0,0,25064,1817
1,72,25104,1855
0,0,25090,1817
0,0,25108,1817
1,72,25104,1854
1,75,25131,1853
0,0,25064,1817
0,0,25064,1817
1,75,25131,1853
0,0,25064,1817
0,0,25064,1817
1,76,25133,1853
0,0,25100,1817
0,0,25064,1817
1,75,25131,1853
0,0,25064,1817
0,0,25064,1817
1,72,25104,1854
1,76,25136,1859
0,26,25086,1817
0,22,25102,1817
1,87,25105,1856
1,72,25104,1855
1,76,25136,1857
0,26,25102,1817
0,26,25064,1817
1,72,25104,1855
1,75,25136,1857
1,73,25136,1855
0,0,25064,1817
0,0,25064,1817
0,0,25064,1817
0,0,25064,1817
0,0,25064,1817
0,0,25064,1817
1,72,25104,1854
0,0,25090,1817
1,74,25131,1853
0,0,25064,1817
1,76,25139,1853
0,0,25087,1817
1,72,25104,1855
1,75,25136,1857
0,25,25102,1817
0,23,25064,1817
1,72,25104,1855
1,72,25115,1853
1,76,25133,1853
1,74,25143,1856
1,76,25136,1857
1,82,25131,1853
0,0,25064,1817
0,0,25064,1817
0,0,25064,1817
1,72,25104,1855
0,0,25064,1817
1,73,25136,1855
1,82,25105,1856
1,75,25133,1853
1,83,25105,1856
1,74,25131,1863
0,0,25064,1817
1,73,25136,1855
1,76,25133,1853
0,0,25100,1817
1,74,25131,1853
1,72,25104,1855
0,0,25089,1817
0,0,25089,1817
0,0,25064,1817
1,72,25104,1854
0,36,25086,1817
1,76,25136,1871
1,72,25104,1855
0,0,25064,1817
0,0,25064,1817
0,0,25064,1817
1,72,25104,1855
1,87,25105,1856
1,76,25136,1857
0,36,25099,1817
0,0,25064,1817
1,76,25133,1853
1,75,25136,1857
0,24,25102,1817
1,75,25136,1857
0,24,25107,1817
1,72,25104,1854
0,0,25087,1817
0,0,25093,1817
0,0,25064,1817
1,75,25136,1872
0,26,25086,1817
0,0,25111,1817
0,0,25064,1817
1,76,25136,1857
0,26,25102,1817
1,85,25103,1856
1,73,25136,1856
0,0,25103,1817
1,75,25131,1853
0,0,25064,1817
0,0,25064,1817
0,0,25064,1817
1,72,25104,1855
1,72,25103,1865
1,72,25104,1855
1,79,25130,1853
0,0,25064,1817
0,0,25064,1817
1,74,25131,1853
0,0,25064,1817
1,75,25136,1857
1,73,25136,1855
0,0,25092,1817
1,74,25138,1853
0,0,25064,1817
0,0,25064,1817
1,72,25104,1855
1,75,25131,1853
0,0,25064,1817
1,74,25131,1853
1,74,25131,1853
0,0,25064,1817
0,0,25064,1817
0,0,25064,1817
1,79,25130,1853
1,72,25104,1854
1,74,25131,1853
0,0,25064,1817
1,72,25104,1854
1,72,25104,1855
1,82,25105,1856
0,0,25108,1817
1,76,25136,1857
0,24,25064,1817
0,0,25064,1817
1,76,25133,1853
1,73,25136,1855
0,0,25092,1817
1,75,25136,1857
0,24,25102,1817
0,0,25064,1817
0,0,25064,1817
1,74,25131,1853
0,0,25064,1817
0,0,25064,1817
1,76,25136,1857
0,25,25102,1817
1,76,25133,1853
0,0,25064,1817
0,0,25064,1817
0,0,25064,1817
0,0,25064,1817
0,0,25064,1817
0,0,25064,1817
0,0,25064,1817
0,0,25064,1817
1,76,25133,1857
0,39,25065,1817
0,0,25064,1817
1,82,25105,1856
1,76,25139,1853
0,0,25064,1817
1,82,25105,1856
0,26,25068,1817
0,0,25064,1817
1,76,25133,1853
1,74,25131,1853
0,0,25064,1817
1,76,25136,1859
0,26,25064,1817
1,74,25138,1853
1,83,25105,1856
0,0,25066,1817
0,0,25064,1817
1,76,25133,1853
0,0,25100,1817
1,73,25136,1855
1,76,25133,1853
0,0,25100,1817
0,0,25064,1817
0,0,25064,1817
1,82,25131,1857
1,74,25131,1853
1,74,25131,1853
1,72,25104,1854
1,75,25131,1853
1,75,25131,1839
1,76,25136,1859
1,72,25104,1855
1,74,25138,1853
1,89,25105,1856
1,72,25104,1854
1,74,25131,1853
0,0,25064,1817
0,0,25064,1817
1,76,25133,1853
0,0,25064,1817
0,0,25064,1817
1,72,25103,1866
0,0,25091,1817
1,83,25126,1855
0,0,25092,1817
1,75,25131,1853
0,0,25064,1817
1,74,25131,1853
0,0,25064,1817
0,0,25064,1817
1,76,25136,1857
